Round,a\b,G,C,P
,G,0,0,33
,C,3,0,0
,P,28,34,2

Round 198
,G,1,1,32
,C,1,0,0
,P,30,34,1

Round 199
,G,0,0,27
,C,3,0,13
,P,24,29,4

Round 200
,G,1,3,27
,C,8,2,1
,P,25,30,3

Round 201
,G,2,0,31
,C,2,0,0
,P,29,34,2

Round 202
,G,3,1,30
,C,3,0,0
,P,29,32,2

Round 203
,G,0,1,31
,C,4,0,0
,P,25,34,5

Round 204
,G,1,4,27
,C,3,0,2
,P,26,33,4

Round 205
,G,0,0,32
,C,4,0,0
,P,27,34,3

Round 206
,G,1,5,23
,C,4,3,2
,P,26,31,5

Round 207
,G,0,2,30
,C,2,0,1
,P,30,33,2

Round 208
,G,1,0,31
,C,2,0,0
,P,31,33,2

Round 209
,G,1,3,27
,C,2,2,3
,P,31,30,1

Round 210
,G,0,3,28
,C,4,2,0
,P,28,32,3

Round 211
,G,0,2,30
,C,0,2,0
,P,35,29,2

Round 212
,G,3,0,27
,C,6,1,3
,P,23,33,4

Round 213
,G,1,3,28
,C,5,1,1
,P,28,31,2

Round 214
,G,1,2,29
,C,4,2,0
,P,31,29,2

Round 215
,G,0,4,28
,C,6,1,2
,P,21,32,6

Round 216
,G,1,0,32
,C,1,0,1
,P,31,34,0

Round 217
,G,3,0,30
,C,4,0,1
,P,26,34,2

Round 218
,G,0,0,32
,C,1,1,0
,P,34,32,0

Round 219
,G,1,3,28
,C,5,2,4
,P,27,30,0

Round 220
,G,2,0,30
,C,4,1,1
,P,29,32,1

Round 221
,G,8,4,16
,C,9,1,18
,P,12,32,0

Round 222
,G,8,5,15
,C,13,2,13
,P,11,31,2

Round 223
,G,6,2,18
,C,8,1,14
,P,19,32,0

Round 224
,G,1,0,30
,C,2,0,3
,P,30,33,1

Round 225
,G,6,10,12
,C,19,1,13
,P,10,27,2

Round 226
,G,4,9,11
,C,22,3,8
,P,12,28,3

Round 227
,G,4,9,10
,C,21,3,9
,P,12,28,4

Round 228
,G,3,7,10
,C,18,6,8
,P,18,28,2

Round 229
,G,1,0,31
,C,1,0,2
,P,31,34,0

Round 230
,G,1,1,27
,C,6,2,3
,P,28,31,1

Round 231
,G,1,1,29
,C,2,0,3
,P,32,31,1

Round 232
,G,2,0,29
,C,3,0,2
,P,30,33,1

Round 233
,G,1,0,31
,C,2,0,1
,P,32,32,1

Round 234
,G,2,1,28
,C,3,2,1
,P,29,32,2

Round 235
,G,0,4,23
,C,8,6,0
,P,27,29,3

Round 236
,G,0,1,28
,C,3,1,2
,P,33,31,1

Round 237
,G,2,1,27
,C,5,1,2
,P,31,31,0

Round 238
,G,0,1,28
,C,4,2,1
,P,35,28,1

Round 239
,G,0,1,28
,C,3,2,2
,P,31,31,2

Round 240
,G,1,0,32
,C,1,0,1
,P,32,33,0

Round 241
,G,0,1,27
,C,4,3,3
,P,28,31,3

Round 242
,G,1,0,28
,C,7,3,0
,P,28,32,1

Round 243
,G,0,5,19
,C,13,5,1
,P,29,26,2

Round 244
,G,0,2,27
,C,6,2,1
,P,31,30,1

Round 245
,G,2,4,25
,C,7,1,2
,P,29,29,1

Round 246
,G,0,0,28
,C,7,4,1
,P,32,28,0

Round 247
,G,1,4,27
,C,3,0,1
,P,32,30,2

Round 248
,G,1,0,32
,C,2,0,0
,P,33,31,1

Round 249
,G,1,6,20
,C,9,2,2
,P,32,28,0

Round 250
,G,0,7,20
,C,9,2,1
,P,33,26,2

Round 251
,G,2,0,26
,C,9,2,0
,P,29,31,1

Round 252
,G,1,1,28
,C,5,1,2
,P,30,32,0

Round 253
,G,0,0,30
,C,5,1,1
,P,29,32,2

Round 254
,G,1,1,27
,C,5,1,1
,P,29,33,2

Round 255
,G,2,4,24
,C,5,1,0
,P,29,31,4

Round 256
,G,0,2,28
,C,5,2,0
,P,32,31,0

Round 257
,G,1,1,27
,C,5,2,1
,P,29,32,2

Round 258
,G,0,0,30
,C,4,1,0
,P,32,31,2

Round 259
,G,0,1,26
,C,11,3,1
,P,24,31,3

Round 260
,G,1,0,30
,C,4,1,0
,P,33,30,1

Round 261
,G,1,0,31
,C,2,0,0
,P,32,33,1

Round 262
,G,0,0,32
,C,0,0,0
,P,34,34,0

Round 263
,G,0,0,19
,C,8,3,9
,P,27,32,2

Round 264
,G,1,1,16
,C,5,1,10
,P,30,33,3

Round 265
,G,2,0,16
,C,2,1,14
,P,34,31,0

Round 266
,G,1,3,28
,C,2,0,0
,P,35,30,1

Round 267
,G,0,0,17
,C,3,1,13
,P,30,33,3

Round 268
,G,1,1,17
,C,5,2,10
,P,28,29,7

Round 269
,G,0,0,18
,C,0,0,14
,P,35,33,0

Round 270
,G,0,1,17
,C,2,0,13
,P,31,33,3

Round 271
,G,0,1,16
,C,3,0,15
,P,31,34,0

Round 272
,G,0,2,19
,C,2,0,11
,P,35,30,1

Round 273
,G,0,0,17
,C,3,2,12
,P,28,32,6

Round 274
,G,0,0,17
,C,2,1,13
,P,34,33,0

Round 275
,G,0,1,18
,C,2,1,12
,P,30,31,5

Round 276
,G,0,1,17
,C,3,1,14
,P,30,31,3

Round 277
,G,1,2,16
,C,2,0,14
,P,32,31,2

Round 278
,G,1,1,15
,C,4,2,11
,P,31,32,3

Round 279
,G,0,0,16
,C,0,3,12
,P,33,29,7

Round 280
,G,1,2,16
,C,6,2,12
,P,27,31,3

Round 281
,G,0,1,18
,C,3,0,12
,P,35,29,2

Round 282
,G,0,0,17
,C,1,1,14
,P,34,31,2

Round 283
,G,0,0,18
,C,1,0,14
,P,33,33,1

Round 284
,G,0,0,19
,C,2,0,13
,P,34,30,2

Round 285
,G,0,1,18
,C,2,0,12
,P,35,30,2

Round 286
,G,0,1,16
,C,2,1,14
,P,33,31,2

Round 287
,G,0,0,17
,C,2,0,16
,P,30,34,1

Round 288
,G,1,0,16
,C,1,0,15
,P,32,34,1

Round 289
,G,0,0,17
,C,3,0,14
,P,31,34,1

Round 290
,G,1,5,13
,C,5,1,10
,P,33,28,4

Round 291
,G,0,1,16
,C,3,2,11
,P,30,30,7

Round 292
,G,1,0,16
,C,3,1,13
,P,29,32,5

Round 293
,G,1,0,16
,C,0,0,17
,P,34,32,0

Round 294
,G,0,2,16
,C,2,2,14
,P,31,30,3

Round 295
,G,0,4,13
,C,5,4,14
,P,29,26,5

Round 296
,G,1,2,14
,C,6,0,14
,P,26,34,3

Round 297
,G,1,2,13
,C,4,3,13
,P,29,30,5

Round 298
,G,0,3,14
,C,3,3,14
,P,32,28,3

Round 299
,G,0,2,14
,C,5,4,14
,P,29,29,3

Round 300
,G,0,1,17
,C,2,1,13
,P,32,31,3

Round 301
,G,0,3,17
,C,3,0,12
,P,33,31,1

Round 302
,G,0,3,14
,C,1,2,15
,P,33,30,2

Round 303
,G,2,1,13
,C,0,2,15
,P,35,28,4

Round 304
,G,0,2,15
,C,1,1,16
,P,34,30,1

Round 305
,G,0,1,17
,C,3,1,14
,P,29,32,3

Round 306
,G,1,1,15
,C,1,1,15
,P,30,30,6

Round 307
,G,0,0,17
,C,0,0,16
,P,33,33,1

Round 308
,G,0,0,16
,C,1,1,16
,P,34,32,0

Round 309
,G,0,3,17
,C,1,1,14
,P,34,30,0

Round 310
,G,1,2,13
,C,4,3,15
,P,31,30,1

Round 311
,G,0,5,11
,C,11,5,13
,P,25,29,1

Round 312
,G,0,0,15
,C,14,0,8
,P,24,38,1

Round 313
,G,1,2,22
,C,8,1,6
,P,25,35,0

Round 314
,G,1,0,19
,C,7,3,4
,P,27,39,0

Round 315
,G,0,3,24
,C,10,1,3
,P,23,36,0

Round 316
,G,0,1,24
,C,10,2,4
,P,22,36,1

Round 317
,G,0,6,11
,C,9,6,13
,P,23,30,2

Round 318
,G,0,10,12
,C,1,9,18
,P,24,23,3

Round 319
,G,1,9,11
,C,0,9,21
,P,25,23,1

Round 320
,G,1,5,13
,C,8,4,14
,P,20,29,6

Round 321
,G,0,0,13
,C,3,4,16
,P,30,28,6

Round 322
,G,0,1,12
,C,5,5,13
,P,31,27,6

Round 323
,G,0,0,18
,C,1,1,13
,P,32,30,5

Round 324
,G,0,0,17
,C,1,0,15
,P,32,33,2

Round 325
,G,0,2,21
,C,3,0,2
,P,25,25,22

Round 326
,G,2,0,22
,C,1,0,2
,P,25,26,22

Round 327
,G,1,0,16
,C,4,1,13
,P,31,31,3

Round 328
,G,1,0,20
,C,2,0,7
,P,25,27,18

Round 329
,G,2,0,23
,C,1,0,0
,P,26,26,22

Round 330
,G,0,1,17
,C,1,0,13
,P,33,32,3

Round 331
,G,1,2,14
,C,2,1,14
,P,31,32,3

Round 332
,G,1,1,16
,C,2,0,14
,P,32,32,2

Round 333
,G,2,2,14
,C,2,0,14
,P,30,31,5

Round 334
,G,1,0,15
,C,2,1,13
,P,33,32,3

Round 335
,G,0,0,17
,C,1,0,15
,P,33,33,1

Round 336
,G,1,0,16
,C,1,0,15
,P,34,33,0

Round 337
,G,0,0,18
,C,1,1,13
,P,37,30,0

Round 338
,G,1,0,16
,C,1,1,14
,P,34,32,1

Round 339
,G,1,2,15
,C,2,1,13
,P,35,31,0

Round 340
,G,0,1,15
,C,4,2,14
,P,31,31,2

Round 341
,G,0,0,17
,C,1,0,15
,P,33,34,0

Round 342
,G,0,2,15
,C,1,0,16
,P,34,32,0

Round 343
,G,0,0,14
,C,3,1,14
,P,35,29,4

Round 344
,G,0,0,16
,C,0,1,16
,P,32,34,1

Round 345
,G,0,0,13
,C,7,1,11
,P,31,31,6

Round 346
,G,1,0,15
,C,1,0,15
,P,32,34,2

Round 347
,G,2,1,13
,C,2,3,15
,P,30,31,3

Round 348
,G,0,1,11
,C,7,1,13
,P,32,30,5

Round 349
,G,0,0,13
,C,0,3,17
,P,33,30,4

Round 350
,G,2,1,10
,C,5,3,15
,P,32,28,4

Round 351
,G,0,0,14
,C,4,2,16
,P,29,32,3

Round 352
,G,2,0,13
,C,1,2,14
,P,32,30,6

Round 353
,G,0,1,0
,C,3,11,23
,P,25,15,22

Round 354
,G,0,0,11
,C,0,5,19
,P,29,26,10

Round 355
,G,0,0,0
,C,1,13,22
,P,26,15,23

Round 356
,G,0,0,15
,C,0,2,15
,P,33,33,2

Round 357
,G,0,0,14
,C,2,1,15
,P,34,32,2

Round 358
,G,1,0,15
,C,3,2,13
,P,33,31,2

Round 359
,G,0,0,14
,C,2,3,15
,P,30,31,5

Round 360
,G,1,1,13
,C,0,1,17
,P,32,33,2

Round 361
,G,0,0,15
,C,0,1,16
,P,31,34,3

Round 362
,G,0,0,14
,C,2,1,15
,P,34,32,2

Round 363
,G,1,0,13
,C,1,3,15
,P,33,31,3

Round 364
,G,0,0,14
,C,2,2,14
,P,34,32,2

Round 365
,G,0,0,14
,C,2,2,16
,P,33,32,1

Round 366
,G,1,0,15
,C,0,1,15
,P,33,32,3

Round 367
,G,1,0,15
,C,2,2,15
,P,33,31,1

Round 368
,G,1,1,15
,C,0,1,14
,P,34,32,2

Round 369
,G,1,0,15
,C,0,1,15
,P,34,32,2

Round 370
,G,2,0,15
,C,1,0,14
,P,30,34,4

Round 371
,G,0,0,13
,C,4,3,13
,P,34,29,4

Round 372
,G,1,0,14
,C,3,4,12
,P,35,29,2

Round 373
,G,0,1,15
,C,2,2,14
,P,35,31,0

Round 374
,G,2,1,11
,C,9,7,10
,P,29,27,4

Round 375
,G,0,0,16
,C,0,1,15
,P,36,32,0

Round 376
,G,0,2,15
,C,0,5,11
,P,41,25,1

Round 377
,G,0,0,15
,C,2,2,14
,P,33,32,2

Round 378
,G,1,0,15
,C,0,2,14
,P,37,30,1

Round 379
,G,1,4,14
,C,1,1,13
,P,35,29,2

Round 380
,G,0,0,16
,C,0,1,15
,P,35,33,0

Round 381
,G,0,0,16
,C,3,4,12
,P,33,28,4

Round 382
,G,3,0,13
,C,0,1,17
,P,31,31,4

Round 383
,G,0,0,21
,C,1,8,5
,P,31,21,13

Round 384
,G,0,0,21
,C,0,12,5
,P,22,18,22

Round 385
,G,1,0,20
,C,2,22,2
,P,23,6,24

Round 386
,G,0,0,15
,C,1,1,16
,P,32,34,1

Round 387
,G,1,1,18
,C,1,14,8
,P,28,13,16

Round 388
,G,1,0,19
,C,0,14,8
,P,26,18,14

Round 389
,G,1,0,17
,C,4,15,7
,P,25,15,16

Round 390
,G,1,1,20
,C,0,17,4
,P,29,10,18

Round 391
,G,0,1,16
,C,0,2,13
,P,35,30,3

Round 392
,G,1,1,15
,C,1,1,14
,P,35,30,2

Round 393
,G,0,2,14
,C,0,1,14
,P,33,33,3

Round 394
,G,0,0,16
,C,0,1,16
,P,34,32,1

Round 395
,G,1,0,15
,C,2,3,11
,P,36,27,5

Round 396
,G,1,0,16
,C,0,0,15
,P,34,32,2

Round 397
,G,0,1,15
,C,2,3,13
,P,34,30,2

Round 398
,G,1,0,14
,C,1,2,14
,P,33,31,4

Round 399
,G,2,0,12
,C,2,2,15
,P,34,28,5

Round 400
,G,2,1,12
,C,2,2,14
,P,33,28,6

Round 401
,G,0,0,14
,C,2,2,14
,P,32,31,5

Round 402
,G,1,1,13
,C,1,2,14
,P,34,31,3

Round 403
,G,0,0,15
,C,1,1,15
,P,32,34,2

Round 404
,G,1,0,14
,C,1,2,14
,P,35,29,4

Round 405
,G,2,0,14
,C,0,0,15
,P,33,32,4

Round 406
,G,1,0,13
,C,6,4,11
,P,31,31,3
