Round,a\b,G,C,P
,P,46,4,0

Round 363
,G,2,0,39
,C,3,1,4
,P,41,6,4

Round 364
,G,0,2,43
,C,2,0,2
,P,46,3,2

Round 365
,G,2,0,39
,C,3,0,6
,P,42,7,1

Round 366
,G,3,0,35
,C,5,1,4
,P,39,6,7

Round 367
,G,2,1,32
,C,10,2,4
,P,40,4,5

Round 368
,G,2,0,44
,C,1,1,2
,P,46,1,3

Round 369
,G,2,0,44
,C,2,1,2
,P,46,2,1

Round 370
,G,1,2,36
,C,3,1,8
,P,42,7,0

Round 371
,G,6,2,37
,C,1,1,7
,P,39,5,2

Round 372
,G,1,1,42
,C,3,1,2
,P,45,2,3

Round 373
,G,2,0,36
,C,4,1,5
,P,44,3,5

Round 374
,G,3,0,38
,C,4,2,3
,P,43,5,2

Round 375
,G,3,1,39
,C,4,1,3
,P,42,4,3

Round 376
,G,4,0,30
,C,8,2,8
,P,37,7,4

Round 377
,G,0,0,41
,C,4,1,2
,P,44,4,4

Round 378
,G,1,0,39
,C,5,1,4
,P,43,6,1

Round 379
,G,4,0,36
,C,8,1,5
,P,38,6,2

Round 380
,G,0,0,36
,C,4,1,8
,P,42,8,1

Round 381
,G,0,0,17
,C,1,3,24
,P,35,18,2

Round 382
,G,3,0,14
,C,2,2,20
,P,36,12,11

Round 383
,G,4,1,12
,C,4,2,22
,P,34,11,10

Round 384
,G,0,0,13
,C,1,1,24
,P,36,14,11

Round 385
,G,0,0,13
,C,1,1,24
,P,36,14,11

Round 386
,G,0,1,14
,C,3,3,20
,P,34,16,9

Round 387
,G,0,2,10
,C,3,1,23
,P,36,12,13

Round 388
,G,6,0,13
,C,5,2,21
,P,30,15,8

Round 389
,G,0,0,12
,C,1,2,23
,P,37,13,12

Round 390
,G,0,2,16
,C,2,2,19
,P,35,14,10

Round 391
,G,1,1,13
,C,2,2,23
,P,34,16,8

Round 392
,G,3,0,12
,C,3,2,22
,P,35,14,9

Round 393
,G,0,0,15
,C,4,2,20
,P,36,14,9

Round 394
,G,0,1,19
,C,8,2,16
,P,35,11,8

Round 395
