Round,a\b,G,C,P

Round 228
,G,0,0,0
,C,0,0,0
,P,0,94,6

Round 229
,G,0,0,0
,C,0,1,0
,P,4,91,4

Round 230
,G,0,0,0
,C,0,0,0
,P,2,97,1

Round 231
,G,0,0,0
,C,0,2,1
,P,4,91,2

Round 232
,G,0,0,0
,C,1,3,1
,P,3,88,4

Round 233
,G,0,0,0
,C,0,4,1
,P,4,89,2

Round 234
,G,0,0,0
,C,3,6,1
,P,5,80,5

Round 235
,G,0,0,0
,C,0,4,2
,P,4,88,2

Round 236
,G,0,0,0
,C,0,3,3
,P,4,89,1

Round 237
,G,0,1,0
,C,1,4,1
,P,5,86,2

Round 238
,G,0,1,0
,C,1,4,1
,P,4,88,1

Round 239
,G,0,0,0
,C,1,1,1
,P,2,94,1

Round 240
,G,0,0,0
,C,0,2,1
,P,2,94,1

Round 241
,G,3,7,0
,C,10,18,6
,P,13,41,2

Round 242
,G,1,2,4
,C,16,11,2
,P,8,52,4

Round 243
,G,0,4,0
,C,13,18,1
,P,8,54,2

Round 244
,G,0,7,0
,C,14,11,6
,P,11,51,0

Round 245
,G,0,8,1
,C,6,20,1
,P,9,50,5

Round 246
,G,0,0,0
,C,1,33,0
,P,1,64,1

Round 247
,G,0,1,0
,C,8,17,2
,P,15,54,3

Round 248
,G,0,6,0
,C,7,24,0
,P,8,53,2

Round 249
,G,2,12,0
,C,15,15,0
,P,15,40,1

Round 250
,G,1,1,0
,C,7,17,0
,P,11,61,2

Round 251
,G,1,13,4
,C,8,13,9
,P,8,38,6

Round 252
,G,6,19,3
,C,10,1,10
,P,15,31,5

Round 253
,G,4,17,1
,C,6,4,6
,P,22,37,3

Round 254
,G,0,13,0
,C,9,12,2
,P,15,46,3

Round 255
,G,3,10,1
,C,5,11,4
,P,20,42,4

Round 256
,G,0,5,2
,C,6,16,1
,P,24,43,3

Round 257
,G,3,20,1
,C,5,4,8
,P,23,28,8

Round 258
,G,0,19,0
,C,6,10,4
,P,16,42,3

Round 259
,G,0,14,1
,C,6,10,6
,P,21,38,4

Round 260
,G,1,12,0
,C,11,15,1
,P,19,37,4

Round 261
,G,6,26,1
,C,8,32,11
,P,6,7,3

Round 262
,G,2,16,0
,C,10,14,12
,P,9,34,3

Round 263
,G,2,21,1
,C,5,24,10
,P,9,17,11

Round 264
,G,2,22,2
,C,7,19,13
,P,5,21,9

Round 265
,G,0,21,1
,C,8,24,9
,P,5,23,9

Round 266
,G,0,21,3
,C,6,18,13
,P,11,22,6

Round 267
,G,3,16,3
,C,7,24,15
,P,6,17,9

Round 268
,G,4,23,1
,C,4,21,12
,P,6,16,13

Round 269
,G,2,24,1
,C,3,30,12
,P,8,14,6

Round 270
,G,3,22,3
,C,2,29,15
,P,7,12,7

Round 271
,G,6,30,9
,C,11,21,8
,P,5,10,0

Round 272
,G,3,40,8
,C,3,21,2
,P,17,4,2

Round 273
,G,4,29,13
,C,7,11,10
,P,6,12,8

Round 274
,G,6,33,11
,C,11,22,6
,P,1,7,3

Round 275
,G,3,27,8
,C,7,19,12
,P,10,9,5

Round 276
,G,3,27,15
,C,11,16,11
,P,9,6,2

Round 277
,G,2,30,16
,C,4,22,5
,P,11,8,2

Round 278
,G,6,28,16
,C,6,16,7
,P,7,8,6

Round 279
,G,5,41,6
,C,14,10,6
,P,9,9,0

Round 280
,G,3,24,15
,C,11,13,9
,P,7,17,1

Round 281
,G,1,39,0
,C,0,12,4
,P,15,26,3

Round 282
,G,1,37,2
,C,2,13,6
,P,20,14,5

Round 283
,G,0,24,3
,C,4,15,11
,P,15,17,11

Round 284
,G,7,22,1
,C,7,17,8
,P,13,18,7

Round 285
,G,3,23,7
,C,1,19,10
,P,15,13,9

Round 286
,G,2,22,5
,C,3,11,12
,P,19,18,8

Round 287
,G,2,23,7
,C,7,18,7
